Manager Name,AMC,Funds Currently Managed,Total AUM Under Management (₹ Cr),Tenure in Fund (yrs),Co-Manager,Previously Managed Funds,Brief Bio,Source URL,Last Verified Date
Deepak Ramaraju,Shriram,Shriram Multi Sector Rotation Fund-Reg(G)|Shriram Multi Asset Allocation Fund-Reg(G)|Shriram Flexi Cap Fund-Reg(G)|Shriram Balanced Advantage Fund-Reg(G)|Shriram Aggressive Hybrid Fund-Reg(G)|Shriram ELSS Tax Saver Fund-Reg(G),543.88,1.3|2.6|3.6|3.7|3.7|3.6,,,,,
Trupti Agrawal,WOC,WOC Banking & Financial Services Fund-Reg(G),519.75,2.1,,,,,
Manish Poddar,Invesco India,Invesco India Consumption Fund-Reg(G),480.47,0.5,,,,,
Arihant Jain,Franklin India,Franklin India Multi-Factor Fund(G),473.45,6.3,,,,,
Paras Matalia,Groww,Groww Multi Asset Allocation Fund-Reg(G)|Groww Aggressive Hybrid Fund-Reg(G)|Groww ELSS Tax Saver Fund-Reg(G),466.27,0.5|2.9|5.7,,,,,
Navin Matta,Mahindra Manulife,Mahindra Manulife Consumption Fund-Reg(G),456.35,5.5,,,,,
Shirish Guthe,Nippon India,Nippon India Active Momentum Fund-Reg(G)|Nippon India Quant Fund(G),447.35,1.1|7.9,,,,,
Dhananjay Tikariha,Kotak,Kotak Healthcare Fund-Reg(G),442.28,2.3,,,,,
Murthy Nagarajan,Tata,Tata Housing Opportunities Fund-Reg(G),419.09,3.5,,,,,
Nilay Dalal,ITI,ITI Banking & Financial Services Fund-Reg(G)|ITI Business Cycle Fund-Reg(G),413.94,4.0|0.1,,,,,
Ashwani Agarwalla,Edelweiss,Edelweiss ELSS Tax saver Fund-Reg(G),395.1,3.7,,,,,
Kapil Kankonkar,Bandhan,Bandhan Equity Savings Fund-Reg(G),392.11,9.5,,,,,
Anoop Vijaykumar,Capitalmind,Capitalmind Flexi Cap Fund-Reg(G),373.21,8.1,,,,,
Nirali Bhansali,Samco,Samco Flexi Cap Fund-Reg(G)|Samco ELSS Tax Saver Fund-Reg(G),357.46,4.1|3.3,,,,,
Chirag Mehta,QUANTUM / Quantum,Quantum Small Cap Fund-Reg(G)|Quantum Ethical Fund-Reg(G)|QUANTUM ESG BEST IN CLASS STRATEGY FUND - REGULAR PLAN - GROWTH OPTION,352.22,2.4|1.3|6.8,,,,,
Rajesh Bhatia,ITI,ITI Balanced Advantage Fund-Reg(G),347.67,2.6,,,,,
Mithraem Bharucha,Bank of India,Bank of India Multi Asset Allocation Fund-Reg(G),337.12,2.2,,,,,
Bharti Sawant,Mirae Asset,Mirae Asset Infrastructure Fund-Reg(G),330.36,0.3,,,,,
Aparna Shanker,The Wealth Company,The Wealth Company Flexi Cap Fund-Reg(G)|The Wealth Company Small Cap Fund-Reg(G)|The Wealth Company Ethical Fund-Reg(G),267.64,0.5|0.1|0.5,,,,,
Nilesh Jethani,Bank of India,Bank of India Banking & Financial Services Fund-Reg(G),251.13,0.2,,,,,
Kenneth Andrade,Old Bridge,Old Bridge Flexi Cap Fund-Reg(G),114.37,0.1,,,,,
Sneha Pandey,Quantum,Quantum Multi Asset Allocation Fund-Reg(G),52.84,2.1,,,,,
Sanjeev Sharma,Quant,Quant Equity Savings Fund-Reg(G),40.89,0.8,,,,,
